,encoded,original,regenerated
2197,[65 51 64], 6.5 , 6 . 5
2198,[ 42  17  40 119  41  40  68  41  43],  ( \frac { X } { 9 }  ) , ( \frac { X } { 9 } )
2199,[62], 3 , 3
2200,[ 17  40  44 101  45  41  40  40  70  49 103  41  41], \frac {  [  F   ] } { {  a  - H } } , \frac { [ F ] } { { a - H } }
2201,[40 49 40 80 84 41 41], { - {  k   o  } } , { - { k o } }
2202,[42 44 60 45 43],  (  [ 1  ]  ) , ( [ 1 ] )
2203,"[ 18  40  40  40  49  30  40  60  41  41  48  40  79  49  17  40  88  41
  40  40  15  49 102  41  41  41  41  41]", \sqrt { { { - \sum { 1 } } + {  j  - \frac {  s  } { { \theta -  G  } } } } } , \sqrt { { { - \sum { 1 } } + { j - \frac { s } { { \theta - G } } } } }
2204,[85],  p  , p
2205,[44 44 95 45 45],  [  [  z   ]  ] , [ [ z ] ]
2206,[26 94], \sin y , \sin y
2207,[66 51 62], 7.3 , 7 . 3
2208,[83],  n  , n
2209,[17 40 32 41 40 64 41], \frac { \phi } { 5 } , \frac { \phi } { 5 }
2210,[40  9 48 18 40 87 41 41], { \ldots + \sqrt { r } } , { \ldots + \sqrt { r } }
2211,[ 40 101  49  27  72  41], {  F  - \tan  c  } , { F - \tan c }
2212,[60 51 66], 1.7 , 1 . 7
2213,[85 78],  pi  , p i
2214,[65 51 66], 6.7 , 6 . 7
2215,[ 18  40  30  40 117  41  41], \sqrt { \sum { V } } , \sqrt { \sum { V } }
2216,[ 40  49 120  41], { - Y } , { - Y }
2217,"[ 31  52  40  18  40  16  41  41  53  40  40  49  71  41  41  40  49  96
  41  73  40 108  41  52  40  88  41]", \int _ { \sqrt { \sigma } } ^ { { - b } } { -  A  } d {  M  } _ {  s  } , \int _ { \sqrt { \sigma } } ^ { { - b } } { - A } d { M } _ { s }
2218,[ 17  40  78  41  40  40 102 114  41  41], \frac {  i  } { {  G   S  } } , \frac { i } { { G S } }
2219,[70 53 93 48 71 53 93 48 17 40 72 41 40 61 41], a ^ x + b ^ x + \frac { c } { 2 } , a ^ x + b ^ x + \frac { c } { 2 }
2220,[ 40  18  40  40  84  48 115  41  41  41  53  40  94  41], { \sqrt { { o +  T  } } } ^ { y } , { \sqrt { { o + T } } } ^ { y }
2221,[61 65], 26 , 2 6
2222,[40 62 83 41], { 3 n } , { 3 n }
2223,[95], z , z
2224,[ 40 117  41  53  40  93  41], {  V  } ^ { x } , { V } ^ { x }
2225,[111  42  40 100  81  41  43],  P   ( { E  l  }  ) , P ( { E l } )
2226,[31 53 40 77 41 52 40 89 41 89 73 75], \int ^ { h } _ {  t  } t df , \int ^ { h } _ { t } t d f
2227,[93 53 61 48 94 53 61 50 95 53 61], x ^ 2 + y ^ 2 = z ^ 2 , x ^ 2 + y ^ 2 = z ^ 2
2228,"[31 52 40 69 41 53 40 10 41 17 40 95 41 40 18 40 95 53 62 48 60 63 41 41
 73 95]", \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 14 } } d z , \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 1 4 } } d z
2229,[31 40 76 77 41 73 91], \int {  g  h } dv , \int { g h } d v
2230,[ 17  40  40 109  48  82  41  41  40  40  97  41  52  40  85  41  41], \frac { { N + m } } { {  B  } _ {  p  } } , \frac { { N + m } } { { B } _ { p } }
2231,[40 91 41 53 40 17 40 85 41 40 82 41 41], { v } ^ { \frac {  p  } {  m  } } , { v } ^ { \frac { p } { m } }
2232,[ 40  44 103  45  49  40  81  49  97  41  41], {  [ H  ] - { l -  B  } } , { [ H ] - { l - B } }
2233,[17 40 26 42 93 43 41 40 25 42 93 43 41 50 27 42 93 43], \frac { \sin  ( x  ) } { \cos  ( x  ) } = \tan  ( x  ) , \frac { \sin ( x ) } { \cos ( x ) } = \tan ( x )
2234,[30 40 71 41], \sum {  b  } , \sum { b }
2235,[40 94 41 52 40 95 41], { y } _ {  z  } , { y } _ { z }
2236,[40 73 41 53 40 40  9 48 96 41 41], {  d  } ^ { { \ldots + A } } , { d } ^ { { \ldots + A } }
2237,[62 64], 35 , 3 5
2238,[ 40  18  40  83  41  41  53  40  40  80  48  87  41  41  42 109  43], { \sqrt { n } } ^ { { k + r } }  (  N   ) , { \sqrt { n } } ^ { { k + r } } ( N )
2239,[17 40 75 41 40 42 73 43 41], \frac { f } {  (  d   ) } , \frac { f } { ( d ) }
2240,[85], p , p
2241,[88],  s  , s
2242,[40 49 30 40 82 41 41], { - \sum {  m  } } , { - \sum { m } }
2243,[40 90 24 18 40 95 41 41], { u \geq \sqrt { z } } , { u \geq \sqrt { z } }
2244,[ 40  80  41  52  40  40 104  41  52  40 119  41  41], { k } _ { {  I  } _ {  X  } } , { k } _ { { I } _ { X } }
2245,[ 17  40 117  41  40  40   9  48 109  41  41], \frac {  V  } { { \ldots +  N  } } , \frac { V } { { \ldots + N } }
2246,[ 40 120  41  53  40  40   9  48  18  40 120  41  41  41], {  Y  } ^ { { \ldots + \sqrt { Y } } } , { Y } ^ { { \ldots + \sqrt { Y } } }
2247,"[ 44  40 100  49  18  40  17  40  78  41  40  30  40  74  41  41  41  41
  45]",  [ { E - \sqrt { \frac { i } { \sum {  e  } } } }  ] , [ { E - \sqrt { \frac { i } { \sum { e } } } } ]
2248,[40 97 24 40 60 48 94 41 41], {  B  \geq { 1 +  y  } } , { B \geq { 1 + y } }
2249,[ 40 114  41  53  40  40  16  84  41  41], { S } ^ { { \sigma  o  } } , { S } ^ { { \sigma o } }
2250,[65 51 66], 6.7 , 6 . 7
2251,[40 82 48 67 51 68 41], {  m  + 8.9 } , { m + 8 . 9 }
2252,[ 18  40  40  20  49  40 120  41  52  40  80  41  41  41], \sqrt { { \beta - {  Y  } _ {  k  } } } , \sqrt { { \beta - { Y } _ { k } } }
2253,"[ 30  52  40  40 107  50  72  41  41  53  40  18  40  75  41  41  40  40
   9  48  31  84  73  82  41  41]", \sum _ { {  L  =  c  } } ^ { \sqrt {  f  } } { { \ldots + \int o dm } } , \sum _ { { L = c } } ^ { \sqrt { f } } { { \ldots + \int o d m } }
2254,[ 40 119  41  53  40 120  41], { X } ^ {  Y  } , { X } ^ { Y }
2255,[78 74],  ie  , i e
2256,[31 74 53 40 49 95 53 61 41 73 95 50 74 87 75 42 95 43], \int e ^ { - z ^ 2 } d z =  erf   ( z  ) , \int e ^ { - z ^ 2 } d z = e r f ( z )
2257,[18 40 97 41], \sqrt { B } , \sqrt { B }
2258,[ 40  90 115  41], {  u  T } , { u T }
2259,[79],  j  , j
2260,[ 40  26  41  53  40  85  41 111], { \sin } ^ {  p  } P , { \sin } ^ { p } P
2261,[69 51 68], 0.9 , 0 . 9
2262,[40 77 49 40 98 41 53 40 92 41 41], {  h  - { C } ^ {  w  } } , { h - { C } ^ { w } }
2263,[ 30  52  40  40 120  47 114  41  41  40  40  82  48  85  41  41], \sum _ { {  Y  >  S  } } { {  m  +  p  } } , \sum _ { { Y > S } } { { m + p } }
2264,[40 96 40 62 65 41 41], {  A  { 3 6 } } , { A { 3 6 } }
2265,[79],  j  , j
2266,[79 42 30 40 78 41 43],  j   ( \sum { i }  ) , j ( \sum { i } )
2267,[70 48 17 40 18 40 71 48 72 41 41 40 61 41], a + \frac { \sqrt { b + c } } { 2 } , a + \frac { \sqrt { b + c } } { 2 }
2268,[ 28  17  40 120  41  40  40  84  49  94  41  41], \log \frac {  Y  } { { o - y } } , \log \frac { Y } { { o - y } }
2269,[ 18  40  40 107  49  95  41  41], \sqrt { { L - z } } , \sqrt { { L - z } }
2270,"[ 40  17  40  40  79  42  88  43  49  30  40 119  41  41  41  40  40 114
  41  52  40  40 119  41  52  40  75  41  41  41  30  40 101  41  41]", { \frac { {  j   (  s   ) - \sum {  X  } } } { { S } _ { { X } _ { f } } } \sum {  F  } } , { \frac { { j ( s ) - \sum { X } } } { { S } _ { { X } _ { f } } } \sum { F } }
2271,[60 51 66], 1.7 , 1 . 7
2272,[ 30  40 119  41], \sum {  X  } , \sum { X }
2273,[ 40 101  48  12  41], {  F  + \alpha } , { F + \alpha }
2274,[18 40 40 95 49 75 41 41], \sqrt { {  z  -  f  } } , \sqrt { { z - f } }
2275,[ 40 119  41  52  40  90  41], {  X  } _ { u } , { X } _ { u }
2276,[ 40  49  40  70 120  41  52  40  40 115  41  52  40 115  41  41  41], { - {  aY  } _ { { T } _ { T } } } , { - { a Y } _ { { T } _ { T } } }
2277,[60 51 65], 1.6 , 1 . 6
2278,[44 97 42 93 43 45],  [  B   (  x   )  ] , [ B ( x ) ]
2279,[78],  i  , i
2280,[40 85 41 53 40 94 41], { p } ^ { y } , { p } ^ { y }
2281,[65], 6 , 6
2282,[18 40 86 41], \sqrt { q } , \sqrt { q }
2283,[98],  C  , C
2284,[95],  z  , z
2285,[79], j , j
2286,[75],  f  , f
2287,[87],  r  , r
2288,"[ 40  40  86  41  52  40  70  41  41  53  40  40  73  48 104  41  41  42
  36  43]", { { q } _ {  a  } } ^ { { d +  I  } }  ( \pi  ) , { { q } _ { a } } ^ { { d + I } } ( \pi )
2289,[40 10 40 73 41 52 40 86 41 41], { \infty {  d  } _ { q } } , { \infty { d } _ { q } }
2290,[ 40  40  78  48  40  92  41  52  40  75  41  41  24  40  49 103  41  41], { { i + {  w  } _ { f } } \geq { -  H  } } , { { i + { w } _ { f } } \geq { - H } }
2291,"[ 30  52  40  40  63  50 109  41  41  53  40  44 113  45  41  40  40  70
  48  92  41  41]", \sum _ { { 4 = N } } ^ {  [ R  ] } { { a +  w  } } , \sum _ { { 4 = N } } ^ { [ R ] } { { a + w } }
2292,[20], \beta , \beta
2293,[64 66], 57 , 5 7
2294,[20], \beta , \beta
2295,[69], 0 , 0
2296,[17 40 49 71 48 18 40 71 53 61 49 63 70 72 41 41 40 61 70 41], \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a } , \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a }
2297,[81],  l  , l
2298,[ 71 109],  bN  , b N
2299,[17 40 49 71 49 18 40 71 53 61 49 63 70 72 41 41 40 61 70 41], \frac { - b - \sqrt { b ^ 2 - 4 a c } } { 2 a } , \frac { - b - \sqrt { b ^ 2 - 4 a c } } { 2 a }
2300,[70 93 53 63 48 71 93 48 72 50 69], a x ^ 4 + b x + c = 0 , a x ^ 4 + b x + c = 0
2301,[64], 5 , 5
2302,[ 40   9  49 120  41], { \ldots - Y } , { \ldots - Y }
2303,[60 48 17 40 18 40 70 53 61 48 60 48 71 41 41 40 62 41], 1 + \frac { \sqrt { a ^ 2 + 1 + b } } { 3 } , 1 + \frac { \sqrt { a ^ 2 + 1 + b } } { 3 }
2304,[60 62 48 36 87 53 61], 13 + \pi r ^ 2 , 1 3 + \pi r ^ 2
2305,[17 40 63 41 40 62 41 36 87 53 62], \frac { 4 } { 3 } \pi r ^ 3 , \frac { 4 } { 3 } \pi r ^ 3
2306,[17 40 60 41 40 62 41 36 87 53 61 77], \frac { 1 } { 3 } \pi r ^ 2 h , \frac { 1 } { 3 } \pi r ^ 2 h
2307,[17 40 36 87 53 61 77 41 40 62 41], \frac { \pi r ^ 2 h } { 3 } , \frac { \pi r ^ 2 h } { 3 }
2308,[26 42 17 40 36 41 40 63 41 43 50 17 40 60 41 40 18 40 61 41 41], \sin  ( \frac { \pi } { 4 }  ) = \frac { 1 } { \sqrt { 2 } } , \sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
2309,[12], \alpha , \alpha
2310,[26 42 17 40 36 41 40 62 41 43 50 17 40 60 41 40 61 41], \sin  ( \frac { \pi } { 3 }  ) = \frac { 1 } { 2 } , \sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
2311,[25 42 69 43 50 60], \cos  ( 0  ) = 1 , \cos ( 0 ) = 1
2312,[ 40 117  41  52  40 117  41], { V } _ { V } , { V } _ { V }
2313,[ 83 107],  nL  , n L
2314,[28 52 61 42 61 53 64 43 50 64], \log _2  ( 2 ^ 5  ) = 5 , \log _ 2 ( 2 ^ 5 ) = 5
2315,[17 40 60 41 40 26 42 93 43 48 60 41], \frac { 1 } { \sin  ( x  ) + 1 } , \frac { 1 } { \sin ( x ) + 1 }
2316,[61 12 48 62 18 40 20 41], 2 \alpha + 3 \sqrt { \beta } , 2 \alpha + 3 \sqrt { \beta }
2317,[64 65 51 64], 56.5 , 5 6 . 5
2318,[17 40 20 48 13 41 40 15 41], \frac { \beta + \gamma } { \theta } , \frac { \beta + \gamma } { \theta }
2319,[80 53 62 48 60 63 80 53 61 49 60 62 61 80 48 60 66 67 68], k ^ 3 + 14 k ^ 2 - 132 k + 1789 , k ^ 3 + 1 4 k ^ 2 - 1 3 2 k + 1 7 8 9
2320,[42 26 42 93 43 53 61 48 62 25 42 93 43 53 61 43 53 63],  ( \sin  ( x  ) ^ 2 + 3 \cos  ( x  ) ^ 2  ) ^ 4 , ( \sin ( x ) ^ 2 + 3 \cos ( x ) ^ 2 ) ^ 4
2321,"[ 40  18  40  40  93  48 109  41  41  41  53  40  40  40  97  41  52  40
 111  41  48  81  41  41]", { \sqrt { {  x  + N } } } ^ { { {  B  } _ { P } +  l  } } , { \sqrt { { x + N } } } ^ { { { B } _ { P } + l } }
2322,[67 51 64], 8.5 , 8 . 5
2323,[ 42  40  80  48 108  41  43],  ( { k +  M  }  ) , ( { k + M } )
2324,[17 40 18 40 60 48 25 53 61 42 15 43 41 41 40 61 41 50 25 42 61 15 43], \frac { \sqrt { 1 + \cos ^ 2  ( \theta  ) } } { 2 } = \cos  ( 2 \theta  ) , \frac { \sqrt { 1 + \cos ^ 2 ( \theta ) } } { 2 } = \cos ( 2 \theta )
2325,[27 42 17 40 36 41 40 63 41 43 50 60], \tan  ( \frac { \pi } { 4 }  ) = 1 , \tan ( \frac { \pi } { 4 } ) = 1
2326,[27 42 17 40 36 41 40 61 41 43 50 10], \tan  ( \frac { \pi } { 2 }  ) = \infty , \tan ( \frac { \pi } { 2 } ) = \infty
2327,"[ 30  52  40  83  50  60  41  53 109  42  49  60  43  53  83  26  42  83
  93  43]", \sum _ { n = 1 } ^ N  ( - 1  ) ^ n \sin  ( n x  ) , \sum _ { n = 1 } ^ N ( - 1 ) ^ n \sin ( n x )
2328,[40 49 88 41], { - s } , { - s }
2329,[18 40 60 48 18 40 60 48 18 40 60 48 18 40 93 41 41 41 41], \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } } , \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } }
2330,[70 53 40 71 53 40 72 53 73 41 41], a ^ { b ^ { c ^ d } } , a ^ { b ^ { c ^ d } }
2331,[74 52 40 75 52 40 76 52 77 41 41], e_ { f_ { g_h } } , e _ { f _ { g _ h } }
2332,[40 71 16 41], {  b  \sigma } , { b \sigma }
2333,[70], a , a
2334,[93],  x  , x
2335,"[17 40 93 52 60 41 40 17 40 93 52 61 41 40 17 40 93 52 62 41 40 93 52 63
 41 41 41]", \frac { x_1 } { \frac { x_2 } { \frac { x_3 } { x_4 } } } , \frac { x _ 1 } { \frac { x _ 2 } { \frac { x _ 3 } { x _ 4 } } }
2336,"[17 40 17 40 17 40 93 52 63 41 40 93 52 62 41 41 40 93 52 61 41 41 40 93
 52 60 41]", \frac { \frac { \frac { x_4 } { x_3 } } { x_2 } } { x_1 } , \frac { \frac { \frac { x _ 4 } { x _ 3 } } { x _ 2 } } { x _ 1 }
2337,[30 52 82 75 42 82 48 62 43], \sum _m f  ( m + 3  ) , \sum _ m f ( m + 3 )
2338,[74 53 40 31 93 53 61 73 93 41], e ^ { \int x ^ 2 d x } , e ^ { \int x ^ 2 d x }
2339,[79 97 73],  jBd  , j B d
2340,[40 89 42 42 32 43 43 41], {  t   (  ( \phi  )  ) } , { t ( ( \phi ) ) }
2341,[17 40 93 41 40 70 48 17 40 93 41 40 71 49 17 40 93 41 40 72 41 41 41], \frac { x } { a + \frac { x } { b - \frac { x } { c } } } , \frac { x } { a + \frac { x } { b - \frac { x } { c } } }
2342,"[18 40 17 40 61 95 53 62 41 40 18 40 17 40 62 95 53 61 41 40 18 40 63 95
 41 41 41 41 41]", \sqrt { \frac { 2 z ^ 3 } { \sqrt { \frac { 3 z ^ 2 } { \sqrt { 4 z } } } } } , \sqrt { \frac { 2 z ^ 3 } { \sqrt { \frac { 3 z ^ 2 } { \sqrt { 4 z } } } } }
2343,[94 84],  yo  , y o
2344,[ 26  40  70  41  52  40 114  41], \sin { a } _ { S } , \sin { a } _ { S }
2345,[30 40 85 41], \sum {  p  } , \sum { p }
2346,[61 64], 25 , 2 5
2347,[26 53 61 42 93 43 48 25 53 61 42 93 43 50 60], \sin ^ 2 ( x ) + \cos ^ 2 ( x ) = 1 , \sin ^ 2 ( x ) + \cos ^ 2 ( x ) = 1
2348,[40 76 41 53 40 97 41], {  g  } ^ {  B  } , { g } ^ { B }
2349,[44 95 45],  [  z   ] , [ z ]
2350,[18 40 94 41], \sqrt { y } , \sqrt { y }
2351,[117],  V  , V
2352,[79], j , j
2353,[77], h , h
2354,[ 40  18  40  78  41  41  53  40 100  41], { \sqrt { i } } ^ { E } , { \sqrt { i } } ^ { E }
2355,[ 18  40 109  41], \sqrt { N } , \sqrt { N }
2356,[113], R , R
2357,[88], s , s
2358,[40 76 47 40 61 66 41 41], { g > { 2 7 } } , { g > { 2 7 } }
2359,[30 40 12 41], \sum { \alpha } , \sum { \alpha }
2360,[74],  e  , e
2361,[90],  u  , u
2362,[40 74 41 53 40 86 41], { e } ^ {  q  } , { e } ^ { q }
2363,[44 31 90 73 72 45],  [ \int u dc  ] , [ \int u d c ]
2364,[70], a , a
2365,[ 42  18  40 103  41  43],  ( \sqrt { H }  ) , ( \sqrt { H } )
2366,[40 40 12 41 53 40 77 41 40 15 98 41 41], { { \alpha } ^ {  h  } { \theta  C  } } , { { \alpha } ^ { h } { \theta C } }
2367,[ 40  49 102  73  41], { -  Gd  } , { - G d }
2368,[31 52 69 53 36 25 42 17 40 15 41 40 61 41 43 73 15], \int _0 ^ \pi \cos  ( \frac { \theta } { 2 }  ) d \theta , \int _ 0 ^ \pi \cos ( \frac { \theta } { 2 } ) d \theta
2369,"[ 17  40  40  17  40  71  41  40  40 111  41  53  40  40 104  49  40  74
  41  53  40  13  41  42 117  43  41  41  41  49  18  40 103  41  41  41
  40  92  41]", \frac { { \frac { b } { {  P  } ^ { {  I  - {  e  } ^ { \gamma }  ( V  ) } } } - \sqrt { H } } } {  w  } , \frac { { \frac { b } { { P } ^ { { I - { e } ^ { \gamma } ( V ) } } } - \sqrt { H } } } { w }
2370,[63 51 67], 4.8 , 4 . 8
2371,"[ 40  65  30  52  40  40 117  47 100  41  41  40  40  82  49  17  40 113
  41  40 103  41  41  41  41]", { 6 \sum _ { { V > E } } { {  m  - \frac {  R  } {  H  } } } } , { 6 \sum _ { { V > E } } { { m - \frac { R } { H } } } }
2372,[114],  S  , S
2373,"[ 40  44  31 101  73 102  45  41  53  40  63  51  67  63  41  42  40 115
  41  52  40 108  41  43]", {  [ \int F dG  ] } ^ { 4.84 }  ( { T } _ { M }  ) , { [ \int F d G ] } ^ { 4 . 8 4 } ( { T } _ { M } )
2374,[18 40 60 48 18 40 60 48 95 53 61 41 41], \sqrt { 1 + \sqrt { 1 + z ^ 2 } } , \sqrt { 1 + \sqrt { 1 + z ^ 2 } }
2375,[ 40  42  89  43  41  53  40  81  41  42 104  43], {  ( t  ) } ^ {  l  }  ( I  ) , { ( t ) } ^ { l } ( I )
2376,[ 18  40  44 111  45  41], \sqrt {  [ P  ] } , \sqrt { [ P ] }
2377,[111],  P  , P
2378,[80 42 97 43],  k   (  B   ) , k ( B )
2379,[62 51 61], 3.2 , 3 . 2
2380,[70 48 18 40 17 40 71 48 72 41 40 73 48 75 41 41], a + \sqrt { \frac { b + c } { d + f } } , a + \sqrt { \frac { b + c } { d + f } }
2381,[120],  Y  , Y
2382,[40  9 49 76 41], { \ldots - g } , { \ldots - g }
2383,[89], t , t
2384,[79], j , j
2385,[ 44  40 111  48  69  41  45],  [ { P + 0 }  ] , [ { P + 0 } ]
2386,[ 42 102  43],  (  G   ) , ( G )
2387,[69 51 62], 0.3 , 0 . 3
2388,[ 42  40 117  41  53  40 100  41  42  80  43  43],  ( { V } ^ {  E  }  ( k  )  ) , ( { V } ^ { E } ( k ) )
2389,[ 40  49  31  90  73 120  41], { - \int  u  dY } , { - \int u d Y }
2390,[ 40  18  40  78  41  41  53  40 115  41], { \sqrt { i } } ^ {  T  } , { \sqrt { i } } ^ { T }
2391,[40 76 41 52 40 92 41], {  g  } _ {  w  } , { g } _ { w }
2392,[30 40 18 40 93 41 41], \sum { \sqrt { x } } , \sum { \sqrt { x } }
2393,[40 40 98 41 52 40 86 41 88 41], { {  C  } _ {  q  } s } , { { C } _ { q } s }
2394,[40 49 42 91 43 41], { -  ( v  ) } , { - ( v ) }
2395,[ 40   9  48  18  40 101  41  41], { \ldots + \sqrt { F } } , { \ldots + \sqrt { F } }
2396,[44 40 37 41 53 40 88 41 45],  [ { \mu } ^ {  s  }  ] , [ { \mu } ^ { s } ]
2397,[ 17  40  31 102  73  83  41  40  40  73  98  41  41], \frac { \int G dn } { { d C } } , \frac { \int G d n } { { d C } }
2398,[95], z , z
2399,[64 62 66], 537 , 5 3 7
2400,[40 97 13 41], { B \gamma } , { B \gamma }
2401,[82], m , m
2402,[ 40 114  41  53  40 104  41], { S } ^ { I } , { S } ^ { I }
2403,[ 40 117  50  42  83  43  41], { V =  ( n  ) } , { V = ( n ) }
2404,[70 53 93 48 71 53 93 48 17 40 72 41 40 61 41], a ^ x + b ^ x + \frac { c } { 2 } , a ^ x + b ^ x + \frac { c } { 2 }
2405,[40 72 48 30 40 77 41 41], {  c  + \sum {  h  } } , { c + \sum { h } }
2406,[ 37  42  40  81  49 104  41  43], \mu  ( { l -  I  }  ) , \mu ( { l - I } )
2407,[17 40 40 85 49 40 74 48 80 41 41 41 40 42 16 43 41], \frac { { p - {  e  + k } } } {  ( \sigma  ) } , \frac { { p - { e + k } } } { ( \sigma ) }
2408,[40  9 48 42 87 43 41], { \ldots +  ( r  ) } , { \ldots + ( r ) }
2409,[61 60], 21 , 2 1
2410,[18 40 40 40 96 41 52 40 95 41 65 51 64 41 41], \sqrt { { {  A  } _ {  z  } 6.5 } } , \sqrt { { { A } _ { z } 6 . 5 } }
2411,[93 53 61 48 94 53 61 50 95 53 61], x ^ 2 + y ^ 2 = z ^ 2 , x ^ 2 + y ^ 2 = z ^ 2
2412,"[31 52 40 69 41 53 40 10 41 17 40 95 41 40 18 40 95 53 62 48 60 63 41 41
 73 95]", \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 14 } } d z , \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 1 4 } } d z
2413,[ 40  65  31  40 109  41  52  40  90  41  73  96  41], { 6 \int { N } _ {  u  } dA } , { 6 \int { N } _ { u } d A }
2414,[95], z , z
2415,[ 40 109  48 107  41], { N + L } , { N + L }
2416,[31 18 40 83 41 73 92], \int \sqrt {  n  } dw , \int \sqrt { n } d w
2417,[18 40 64 51 60 41], \sqrt { 5.1 } , \sqrt { 5 . 1 }
2418,[78],  i  , i
2419,[ 18  40 114  41], \sqrt {  S  } , \sqrt { S }
2420,[40 28 61 51 60 41 53 40 40 97 49 44 69 51 63 45 41 41], { \log 2.1 } ^ { {  B  -  [ 0.4  ] } } , { \log 2 . 1 } ^ { { B - [ 0 . 4 ] } }
2421,[60], 1 , 1
2422,[40 90 41 52 40 89 41], { u } _ { t } , { u } _ { t }
2423,[73],  d  , d
2424,[89], t , t
2425,[68 68], 99 , 9 9
2426,[ 30  40 113  41], \sum {  R  } , \sum { R }
2427,[ 18  40  44 100  45  41], \sqrt {  [ E  ] } , \sqrt { [ E ] }
2428,[40 15 41 53 40 10 41 42 83 43], { \theta } ^ { \infty }  (  n   ) , { \theta } ^ { \infty } ( n )
2429,[69 67 51 62], 08.3 , 0 8 . 3
2430,[67 68 51 65], 89.6 , 8 9 . 6
2431,[40 93 24 87 41], {  x  \geq  r  } , { x \geq r }
2432,[18 40 40 91 49 86 41 41], \sqrt { { v - q } } , \sqrt { { v - q } }
2433,[ 40  40  78  48 101  41  47  40  79  48  93  41  41], { { i +  F  } > { j + x } } , { { i + F } > { j + x } }
2434,[ 40  17  40  70  41  40  32  41  17  40  88  41  40 117  41  41], { \frac {  a  } { \phi } \frac {  s  } { V } } , { \frac { a } { \phi } \frac { s } { V } }
2435,[93], x , x
2436,[40 40 49 12 41 48 80 41], { { - \alpha } +  k  } , { { - \alpha } + k }
2437,[42 31 77 73 95 43],  ( \int  h  dz  ) , ( \int h d z )
2438,[ 40 114  41  52  40  84  41], {  S  } _ {  o  } , { S } _ { o }
2439,[40 42 97 43 41 53 40 37 41], {  (  B   ) } ^ { \mu } , { ( B ) } ^ { \mu }
2440,[42 66 51 69 43],  ( 7.0  ) , ( 7 . 0 )
2441,[ 17  40  77  41  40 104  41], \frac { h } {  I  } , \frac { h } { I }
2442,[14], \Delta , \Delta
2443,[ 40 101  41  53  40 102  41], { F } ^ { G } , { F } ^ { G }
2444,[31 74 53 40 49 95 53 61 41 73 95 50 74 87 75 42 95 43], \int e ^ { - z ^ 2 } d z =  erf   ( z  ) , \int e ^ { - z ^ 2 } d z = e r f ( z )
2445,[ 42  40 104  41  53  40  64  41  43],  ( {  I  } ^ { 5 }  ) , ( { I } ^ { 5 } )
2446,[40 82 73 41], {  m   d  } , { m d }
2447,[ 30  40  40 102  48  79  41  41], \sum { { G +  j  } } , \sum { { G + j } }
2448,[16], \sigma , \sigma
2449,[97], B , B
2450,[28 32], \log \phi , \log \phi
2451,[42 31 76 73 94 43],  ( \int  g  dy  ) , ( \int g d y )
2452,[ 40  40 102  41  52  40  77  41  41  53  40  40 120  49  91  41  41], { { G } _ {  h  } } ^ { { Y - v } } , { { G } _ { h } } ^ { { Y - v } }
2453,[30 40 40  9 48 73 41 41], \sum { { \ldots + d } } , \sum { { \ldots + d } }
2454,[113], R , R
2455,[117  85],  Vp  , V p
2456,[70 48 17 40 18 40 71 48 72 41 41 40 61 41], a + \frac { \sqrt { b + c } } { 2 } , a + \frac { \sqrt { b + c } } { 2 }
2457,[ 40  49  40  40 103  41  53  40  40  91  49  70  41  41  71 108  41  41], { - { { H } ^ { {  v  -  a  } }  bM  } } , { - { { H } ^ { { v - a } } b M } }
2458,[65 51 61], 6.2 , 6 . 2
2459,[18 40 40 95 49 80 41 41], \sqrt { {  z  -  k  } } , \sqrt { { z - k } }
2460,[40 49 76 41], { -  g  } , { - g }
2461,[40 79 41 52 40 82 41], {  j  } _ { m } , { j } _ { m }
2462,[ 40  89  41  53  40  40  91  48 100  41  41], {  t  } ^ { { v + E } } , { t } ^ { { v + E } }
2463,[ 18  40 100  41], \sqrt { E } , \sqrt { E }
2464,[78],  i  , i
2465,[95],  z  , z
2466,[ 17  40  94  41  40  40  81  41  53  40 103  41  41], \frac { y } { {  l  } ^ {  H  } } , \frac { y } { { l } ^ { H } }
2467,[40 97 48 40 79 41 53 40 96 41 41], { B + {  j  } ^ { A } } , { B + { j } ^ { A } }
2468,"[ 30  52  40  40 104  50  71  41  41  53  40  42 117  43  41  40  40  91
  48  13  41  41]", \sum _ { {  I  =  b  } } ^ {  (  V   ) } { { v + \gamma } } , \sum _ { { I = b } } ^ { ( V ) } { { v + \gamma } }
2469,[40 49 16 41], { - \sigma } , { - \sigma }
2470,[40 80 49 82 41], {  k  -  m  } , { k - m }
2471,[40 67 94 41], { 8  y  } , { 8 y }
2472,[86],  q  , q
