,encoded,original,regenerated
1137,[120  99 119],  ( 3  ) , ( 3 )
1138,"[117 112  30 118 117 117 117  91 116 115  95 116 116 114 117  50 116 117
  41 116 116]", { - \sum _ { {  { a } = 7 } } ^ { P } { Y } } , { - \sum _ { { { a } = 7 } } ^ { P } { Y } }
1139,[ 30 117 117  86 113  74 116 116], \sum { { f + r } } , \sum { { f + r } }
1140,[ 92 110 101], 0.1 , 0 . 1
1141,[120  70 119],  ( v  ) , ( v )
1142,[117  93 110  94  71 116], { 9.8 u } , { 9 . 8 u }
1143,[117 117  59 116 113  17 117 117  81 116 116 116], {  { G } + \sqrt {  { k } } } , { { G } + \sqrt { { k } } }
1144,[67], y , y
1145,[117 117  75 116 116 114 117   6 120  70 119 116 120  90 119], {  { q } } ^ { \gamma  ( v  ) }  ( b  ) , { { q } } ^ { \gamma ( v ) } ( b )
1146,[ 18 117 117  80 116 116 117 117  61 116 116], \frac {  { l } } {  { E } } , \frac { { l } } { { E } }
1147,[ 27 120  68 119  88  46], \int  ( x  ) dT , \int ( x ) d T
1148,"[ 27  87 114 117 112  66 114 100 116  88  66 115 117  87  74  86 116 120
  66 119]", \int e ^ { - z ^ 2 } d z =  { erf }  ( z  ) , \int e ^ { - z ^ 2 } d z = { e r f } ( z )
1149,[ 91 113  18 117  17 117  90 113  89 116 116 117 100 116], a + \frac { \sqrt { b + c } } { 2 } , a + \frac { \sqrt { b + c } } { 2 }
1150,[ 30 117  31 116], \sum { \mu } , \sum { \mu }
1151,[ 27  87 114 117  68 114 100 116  68 114  99  88  68], \int e ^ { x ^ 2 } x ^ 3 d x , \int e ^ { x ^ 2 } x ^ 3 d x
1152,"[ 18 117 112  90 113  17 117  90 114 100 112  98  91  89 116 116 117 100
  91 116]", \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a } , \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a }
1153,"[ 18 117 112  90 112  17 117  90 114 100 112  98  91  89 116 116 117 100
  91 116]", \frac { - b - \sqrt { b ^ 2 - 4 a c } } { 2 a } , \frac { - b - \sqrt { b ^ 2 - 4 a c } } { 2 a }
1154,[ 91  68 114  98 113  90  68 113  89 115  92], a x ^ 4 + b x + c = 0 , a x ^ 4 + b x + c = 0
1155,[ 17 117 117   0 116 114 117 117  65 116 116 116], \sqrt { { \lambda } ^ {  { A } } } , \sqrt { { \lambda } ^ { { A } } }
1156,[101 113  18 117  17 117  91 114 100 113 101 113  90 116 116 117  99 116], 1 + \frac { \sqrt { a ^ 2 + 1 + b } } { 3 } , 1 + \frac { \sqrt { a ^ 2 + 1 + b } } { 3 }
1157,[101  99 113  32  74 114 100], 13 + \pi r ^ 2 , 1 3 + \pi r ^ 2
1158,[ 18 117  98 116 117  99 116  32  74 114  99], \frac { 4 } { 3 } \pi r ^ 3 , \frac { 4 } { 3 } \pi r ^ 3
1159,[ 24 117  70 116], \log  { v } , \log { v }
1160,[101 101], 11 , 1 1
1161,[ 17 117 117  60 116 116], \sqrt {  { F } } , \sqrt { { F } }
1162,[ 18 117 101 116 117  99 116  32  74 114 100  84], \frac { 1 } { 3 } \pi r ^ 2 h , \frac { 1 } { 3 } \pi r ^ 2 h
1163,[ 18 117  32  74 114 100  84 116 117  99 116], \frac { \pi r ^ 2 h } { 3 } , \frac { \pi r ^ 2 h } { 3 }
1164,"[ 28 120  18 117  32 116 117  98 116 119 115  18 117 101 116 117  17 117
 100 116 116]", \sin  ( \frac { \pi } { 4 }  ) = \frac { 1 } { \sqrt { 2 } } , \sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
1165,[ 27 117  53 112 117  88 116 116  88  46], \int { M -  { d } } dT , \int { M - { d } } d T
1166,[120  27  72  88  88 119],  ( \int t dd  ) , ( \int t d d )
1167,[117  76 116 118 117 117  68 116 116], { p } _ {  { x } } , { p } _ { { x } }
1168,[ 28 120  18 117  32 116 117  99 116 119 115  18 117 101 116 117 100 116], \sin  ( \frac { \pi } { 3 }  ) = \frac { 1 } { 2 } , \sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
1169,[ 29 120  92 119 115 101], \cos  ( 0  ) = 1 , \cos ( 0 ) = 1
1170,[117 117  89 116 116 114 117 117  89 116 116], {  { c } } ^ {  { c } } , { { c } } ^ { { c } }
1171,[ 24 118 100 120 100 114  97 119 115  97], \log _2  ( 2 ^ 5  ) = 5 , \log _ 2 ( 2 ^ 5 ) = 5
1172,[ 18 117 101 116 117  28 120  68 119 113 101 116], \frac { 1 } { \sin  ( x  ) + 1 } , \frac { 1 } { \sin ( x ) + 1 }
1173,[100   5 113  99  17 117  15 116], 2 \alpha + 3 \sqrt { \beta } , 2 \alpha + 3 \sqrt { \beta }
1174,[117 117  48 116 120  44 119 116 114 117 117  79 116 116], {  { R }  ( V  ) } ^ {  { m } } , { { R } ( V ) } ^ { { m } }
1175,[117  17 117  67 116 116 114 117 120  92 110  92 119 116], { \sqrt { y } } ^ {  ( 0.0  ) } , { \sqrt { y } } ^ { ( 0 . 0 ) }
1176,[117 112 117  65 116 116], { -  { A } } , { - { A } }
1177,[ 18 117  15 113   6 116 117   8 116], \frac { \beta + \gamma } { \theta } , \frac { \beta + \gamma } { \theta }
1178,"[ 81 114  99 113 101  98  81 114 100 112 101  99 100  81 113 101  95  94
  93]", k ^ 3 + 14 k ^ 2 - 132 k + 1789 , k ^ 3 + 1 4 k ^ 2 - 1 3 2 k + 1 7 8 9
1179,[120  28 120  68 119 114 100 113  99  29 120  68 119 114 100 119 114  98],  ( \sin  ( x  ) ^ 2 + 3 \cos  ( x  ) ^ 2  ) ^ 4 , ( \sin ( x ) ^ 2 + 3 \cos ( x ) ^ 2 ) ^ 4
1180,[117 117  54 116 116 114 117 117 117  54 116 113  44 116 116], {  { L } } ^ { {  { L } + V } } , { { L } } ^ { { { L } + V } }
1181,"[ 18 117  17 117 101 113  29 114 100 120   8 119 116 116 117 100 116 115
  29 120 100   8 119]", \frac { \sqrt { 1 + \cos ^ 2  ( \theta  ) } } { 2 } = \cos  ( 2 \theta  ) , \frac { \sqrt { 1 + \cos ^ 2 ( \theta ) } } { 2 } = \cos ( 2 \theta )
1182,[ 23 120  18 117  32 116 117  98 116 119 115 101], \tan  ( \frac { \pi } { 4 }  ) = 1 , \tan ( \frac { \pi } { 4 } ) = 1
1183,[ 23 120  18 117  32 116 117 100 116 119 115  13], \tan  ( \frac { \pi } { 2 }  ) = \infty , \tan ( \frac { \pi } { 2 } ) = \infty
1184,"[ 30 118 117  78 115 101 116 114  52 120 112 101 119 114  78  28 120  78
  68 119]", \sum _ { n = 1 } ^ N  ( - 1  ) ^ n \sin  ( n x  ) , \sum _ { n = 1 } ^ N ( - 1 ) ^ n \sin ( n x )
1185,[117 108 117  59 116 107 116 114 117  92 116], {  [  { G }  ] } ^ { 0 } , { [ { G } ] } ^ { 0 }
1186,"[ 17 117 101 113  17 117 101 113  17 117 101 113  17 117  68 116 116 116
 116]", \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } } , \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } }
1187,[ 91 114 117  90 114 117  89 114  88 116 116], a ^ { b ^ { c ^ d } } , a ^ { b ^ { c ^ d } }
1188,[ 87 118 117  86 118 117  85 118  84 116 116], e_ { f_ { g_h } } , e _ { f _ { g _ h } }
1189,[117 117  66 116 116 118 117 117  67 116 116], {  { z } } _ {  { y } } , { { z } } _ { { y } }
1190,[117 112   7 116], { - \sigma } , { - \sigma }
1191,"[ 18 117  68 118 101 116 117  18 117  68 118 100 116 117  18 117  68 118
  99 116 117  68 118  98 116 116 116]", \frac { x_1 } { \frac { x_2 } { \frac { x_3 } { x_4 } } } , \frac { x _ 1 } { \frac { x _ 2 } { \frac { x _ 3 } { x _ 4 } } }
1192,"[ 18 117  18 117  18 117  68 118  98 116 117  68 118  99 116 116 117  68
 118 100 116 116 117  68 118 101 116]", \frac { \frac { \frac { x_4 } { x_3 } } { x_2 } } { x_1 } , \frac { \frac { \frac { x _ 4 } { x _ 3 } } { x _ 2 } } { x _ 1 }
1193,[ 30 118  79  86 120  79 113  99 119], \sum _m f  ( m + 3  ) , \sum _ m f ( m + 3 )
1194,[ 87 114 117  27  68 114 100  88  68 116], e ^ { \int x ^ 2 d x } , e ^ { \int x ^ 2 d x }
1195,[ 23  99 110 101], \tan 3.1 , \tan 3 . 1
1196,"[ 27 114 117 117  58 116 116 118 117 117   7 112  78 116 116  98  88 117
 117  85 116 116 118 117 117  82 116 116]", \int ^ {  { H } } _ { { \sigma - n } } 4 d {  { g } } _ {  { j } } , \int ^ { { H } } _ { { \sigma - n } } 4 d { { g } } _ { { j } }
1197,"[ 18 117  68 116 117  91 113  18 117  68 116 117  90 112  18 117  68 116
 117  89 116 116 116]", \frac { x } { a + \frac { x } { b - \frac { x } { c } } } , \frac { x } { a + \frac { x } { b - \frac { x } { c } } }
1198,"[ 17 117  18 117 100  66 114  99 116 117  17 117  18 117  99  66 114 100
 116 117  17 117  98  66 116 116 116 116 116]", \sqrt { \frac { 2 z ^ 3 } { \sqrt { \frac { 3 z ^ 2 } { \sqrt { 4 z } } } } } , \sqrt { \frac { 2 z ^ 3 } { \sqrt { \frac { 3 z ^ 2 } { \sqrt { 4 z } } } } }
1199,"[ 27 114 117 117 112  74 116 116 118 117  18 117  61 116 117 117  67 116
 116 116 117 112 117  77 116 116  88  53]", \int ^ { { - r } } _ { \frac { E } {  { y } } } { -  { o } } dM , \int ^ { { - r } } _ { \frac { E } { { y } } } { - { o } } d M
1200,[117  76 116],  { p } , { p }
1201,[ 28 117  54 116], \sin  { L } , \sin { L }
1202,"[ 27  18 117  28 120  68 119 113 101 116 117  17 117  29 114  99 120  68
 119 113  23 120  68 119 116 116  88  68]", \int \frac { \sin  ( x  ) + 1 } { \sqrt { \cos ^ 3  ( x  ) + \tan  ( x  ) } } d x , \int \frac { \sin ( x ) + 1 } { \sqrt { \cos ^ 3 ( x ) + \tan ( x ) } } d x
1203,[108   5 107],  [ \alpha  ] , [ \alpha ]
1204,[ 99 101], 31 , 3 1
1205,[24 70], \log v , \log v
1206,[117 117 112  90 116  25  30 117 117  44 116 116 116],{{-b}\neq\sum{{V}}}, { { - b } \neq \sum { { V } } }
1207,[117  86 116],  { f } , { f }
1208,[ 28 114 100 120  68 119 113  29 114 100 120  68 119 115 101], \sin ^ 2 ( x ) + \cos ^ 2 ( x ) = 1 , \sin ^ 2 ( x ) + \cos ^ 2 ( x ) = 1
1209,[117 112   7 116], { - \sigma } , { - \sigma }
1210,[117 117 112 117  70 116 116 113  18 117  54 116 117  82 116 116], { { -  { v } } + \frac { L } { j } } , { { - { v } } + \frac { L } { j } }
1211,[ 30 117 117  86 116 116], \sum {  { f } } , \sum { { f } }
1212,[ 18 117 117 117  70 116 113 101 116 116 117 117 112 117  84 116 116 116], \frac { {  { v } + 1 } } { { -  { h } } } , \frac { { { v } + 1 } } { { - { h } } }
1213,[23 93], \tan 9 , \tan 9
1214,[ 27 117  46  89 116  88  50], \int { T c } dP , \int { T c } d P
1215,[77], o , o
1216,[117 117  77 116 116 114 117 117  77 116 116], {  { o } } ^ {  { o } } , { { o } } ^ { { o } }
1217,[ 29 117  84 116 114 117 117  83 116 116], \cos { h } ^ {  { i } } , \cos { h } ^ { { i } }
1218,"[ 18 117 117 117  80 116 113  30 117  84 116 116 116 117 117  66 116 120
  90 119 116]", \frac { {  { l } + \sum { h } } } {  { z }  ( b  ) } , \frac { { { l } + \sum { h } } } { { z } ( b ) }
1219,[117  14 113  58 116], { \cdots + H } , { \cdots + H }
1220,[ 17 117 117 117  44 116 113 117  76 116 116 116], \sqrt { {  { V } +  { p } } } , \sqrt { { { V } + { p } } }
1221,[117  97 110  99 117  50 116 118 117  68 116 116], { 5.3 { P } _ { x } } , { 5 . 3 { P } _ { x } }
1222,"[ 18 117 117 117 112 117  85 116 116 112 117  41 116 116 116 117 117 117
  71 116  82 116 116]", \frac { { { -  { g } } -  { Y } } } { {  { u } j } } , \frac { { { - { g } } - { Y } } } { { { u } j } }
1223,"[117 112  30 118 117 117  94  26 117  88 116 116 116 117  17 117 117  68
 116 116 116 116]", { - \sum _ { { 8 \geq  { d } } } { \sqrt {  { x } } } } , { - \sum _ { { 8 \geq { d } } } { \sqrt { { x } } } }
1224,[120 117  65 113 117  69 116 116 119],  ( { A +  { w } }  ) , ( { A + { w } } )
1225,[117   5 116 118 117  66 116], { \alpha } _ { z } , { \alpha } _ { z }
1226,[117  52  67 116],  { Ny } , { N y }
1227,[117 112  30 117  74 116 116], { - \sum { r } } , { - \sum { r } }
1228,"[ 30 118 117 117  41  26 117  68 116 116 116 117 117 108  69 107 113 100
 110  92 116 116]", \sum _ { { Y \geq  { x } } } { {  [ w  ] + 2.0 } } , \sum _ { { Y \geq { x } } } { { [ w ] + 2 . 0 } }
1229,[117  46 116],  { T } , { T }
1230,[ 27 118  92 114  32  29 120  18 117   8 116 117 100 116 119  88   8], \int _0 ^ \pi \cos  ( \frac { \theta } { 2 }  ) d \theta , \int _ 0 ^ \pi \cos ( \frac { \theta } { 2 } ) d \theta
1231,[117  88 116 118 117 117  57 116 116], { d } _ {  { I } } , { d } _ { { I } }
1232,[117  14 112   4 116], { \cdots - \Delta } , { \cdots - \Delta }
1233,[117  78 116 118 117 117  87  58 116 116], { n } _ {  { eH } } , { n } _ { { e H } }
1234,[117 112  54 116], { - L } , { - L }
1235,[ 17 117 101 113  17 117 101 113  66 114 100 116 116], \sqrt { 1 + \sqrt { 1 + z ^ 2 } } , \sqrt { 1 + \sqrt { 1 + z ^ 2 } }
1236,[117  82 116],  { j } , { j }
1237,[117  14 113 100 110  96 116], { \cdots + 2.6 } , { \cdots + 2 . 6 }
1238,[117  96 110 101  30 117 117  87 116 116 116], { 6.1 \sum {  { e } } } , { 6 . 1 \sum { { e } } }
1239,"[ 18 117 117  52 113  93 116 116 117  18 117  64 116 117 117  47 116 116
 116]", \frac { { N + 9 } } { \frac { B } {  { S } } } , \frac { { N + 9 } } { \frac { B } { { S } } }
1240,[117  76 116 114 117   0 116], { p } ^ { \lambda } , { p } ^ { \lambda }
1241,[ 91 113  17 117  18 117  90 113  89 116 117  88 113  86 116 116], a + \sqrt { \frac { b + c } { d + f } } , a + \sqrt { \frac { b + c } { d + f } }
1242,[ 30 118 117 117 117  47 116 102  86 116 116 117 117  72 116 116], \sum _ { {  { S } > f } } {  { t } } , \sum _ { { { S } > f } } { { t } }
1243,"[ 18 117 117  74 112  30 117 100 116 116 116 117 117 117  54 116 116 118
 117 117  75 116 116 116]", \frac { { r - \sum { 2 } } } { {  { L } } _ {  { q } } } , \frac { { r - \sum { 2 } } } { { { L } } _ { { q } } }
1244,[117  77 116 114 117  30 117  65 116 116], { o } ^ { \sum { A } } , { o } ^ { \sum { A } }
1245,[19], \phi , \phi
1246,[117  28 116 114 117 117  65 116 116  82], { \sin } ^ {  { A } } j , { \sin } ^ { { A } } j
1247,"[ 27 114 117 117  79 116 116 118 117 117   6 113 117  44 116 116 116  18
 117   8 116 117 117  71 116 116  88  87]", \int ^ {  { m } } _ { { \gamma +  { V } } } \frac { \theta } {  { u } } de , \int ^ { { m } } _ { { \gamma + { V } } } \frac { \theta } { { u } } d e
1248,[5], \alpha , \alpha
1249,"[ 18 117 117  83 113 117  83 116 114 117 117  64 116 116 116 116 117 108
  91 107 116]", \frac { { i + { i } ^ {  { B } } } } {  [ a  ] } , \frac { { i + { i } ^ { { B } } } } { [ a ] }
1250,[117  86  67 116], { f y } , { f y }
1251,[86], f , f
1252,[117 112  32 116], { - \pi } , { - \pi }
1253,[117  27  76  88  87 112 108  84 107 116], { \int p de -  [ h  ] } , { \int p d e - [ h ] }
1254,[117   7 115  96 116], { \sigma = 6 } , { \sigma = 6 }
1255,[ 30 117 117  42 113 117  68 116 116 116], \sum { { X +  { x } } } , \sum { { X + { x } } }
1256,"[ 18 117 117  18 117 117  76 116 116 117  78 116 113  70 116 116 117 117
 112 117  58 116 116 116]", \frac { { \frac {  { p } } { n } + v } } { { -  { H } } } , \frac { { \frac { { p } } { n } + v } } { { - { H } } }
1257,[ 95  99 110  99], 73.3 , 7 3 . 3
1258,"[117 117  46 113  28 117  91 116 114 117  53 116 116  20  98 110  98  97
 116]", { { T + \sin { a } ^ { M } } \leq 4.45 } , { { T + \sin { a } ^ { M } } \leq 4 . 4 5 }
1259,[117  87 116],  { e } , { e }
1260,[23 73], \tan s , \tan s
1261,[117 117  84 116 116 114 117  92 116], {  { h } } ^ { 0 } , { { h } } ^ { 0 }
1262,[ 17 117 117 117  65 116 113  13 116 116], \sqrt { {  { A } + \infty } } , \sqrt { { { A } + \infty } }
1263,[117  76  76 116], { p p } , { p p }
1264,[91], a , a
1265,[117  72 116],  { t } , { t }
1266,[117 117 117  74 116 116 118 117 117  46 116 116 113 117  61  79 116 116], { {  { r } } _ {  { T } } + { E m } } , { { { r } } _ { { T } } + { E m } }
1267,[117  78  36  27  17 117  66 116  88  88 116], { n \lt \int \sqrt { z } dd } , { n \lt \int \sqrt { z } d d }
1268,[ 17 117  96  92 116], \sqrt { 60 } , \sqrt { 6 0 }
1269,[117  58 116],  { H } , { H }
1270,[117 112  58 116], { - H } , { - H }
1271,[ 91 114  68 113  90 114  68 113  18 117  89 116 117 100 116], a ^ x + b ^ x + \frac { c } { 2 } , a ^ x + b ^ x + \frac { c } { 2 }
1272,[ 18 117  94 110 101 116 117 117 112 117  67 116 116 116], \frac { 8.1 } { { -  { y } } } , \frac { 8 . 1 } { { - { y } } }
1273,[76], p , p
1274,[117  70 112  17 117 117  77 116 116 116], { v - \sqrt {  { o } } } , { v - \sqrt { { o } } }
1275,[ 68 114 100 113  67 114 100 115  66 114 100], x ^ 2 + y ^ 2 = z ^ 2 , x ^ 2 + y ^ 2 = z ^ 2
1276,"[ 27 118 117  92 116 114 117  13 116  18 117  66 116 117  17 117  66 114
  99 113 101  98 116 116  88  66]", \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 14 } } d z , \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 1 4 } } d z
1277,"[117 117 117  61 116 116 118 117 117  64 116 116 116 114 117 117 112  52
 116 116]", { {  { E } } _ {  { B } } } ^ { { - N } } , { { { E } } _ { { B } } } ^ { { - N } }
1278,[117 117  86 116  36 117 117  66 116 116 118 117  42 116 116], {  { f } \lt {  { z } } _ { X } } , { { f } \lt { { z } } _ { X } }
1279,[108 108 117  77 116 107 107],  [  [  { o }  ]  ] , [ [ { o } ] ]
1280,[117  60  86  52 116],  { FfN } , { F f N }
1281,[117 117  67 116 116 118 117 117  69 116 116], {  { y } } _ {  { w } } , { { y } } _ { { w } }
1282,[117 112  95 110  92 116], { - 7.0 } , { - 7 . 0 }
1283,"[117 108  18 117  64 116 117  95 116 107 116 114 117 117  52 113  96 116
 116]", {  [ \frac { B } { 7 }  ] } ^ { { N + 6 } } , { [ \frac { B } { 7 } ] } ^ { { N + 6 } }
1284,[ 18 117  28 120  68 119 116 117  29 120  68 119 116 115  23 120  68 119], \frac { \sin  ( x  ) } { \cos  ( x  ) } = \tan  ( x  ) , \frac { \sin ( x ) } { \cos ( x ) } = \tan ( x )
1285,[8], \theta , \theta
1286,[117 117  75 116 116 114 117 117 117  84 116 113 117  89 116 116 116], {  { q } } ^ { {  { h } +  { c } } } , { { q } } ^ { { { h } + { c } } }
1287,[108 117 117  85 116 116 114 117  69 116 120  67 119 107],  [ {  { g } } ^ { w }  ( y  )  ] , [ { { g } } ^ { w } ( y ) ]
1288,[ 18 117  30 117  80 116 116 117 117  73 116 116], \frac { \sum { l } } {  { s } } , \frac { \sum { l } } { { s } }
1289,[117  72 116],  { t } , { t }
1290,[29 99], \cos 3 , \cos 3
1291,[117  14 112  17 117  80 116 116], { \cdots - \sqrt { l } } , { \cdots - \sqrt { l } }
1292,[94 99], 83 , 8 3
1293,[117 117  44 116 116 118 117  19 116], {  { V } } _ { \phi } , { { V } } _ { \phi }
1294,[85], g , g
1295,[117  75  89  87 116],  { qce } , { q c e }
1296,[117 112  57 116], { - I } , { - I }
1297,"[ 18 117 117  76 116 116 117  17 117 117 117  77 116 112 117  88 113  98
 116 116 116 116]", \frac {  { p } } { \sqrt { {  { o } - { d + 4 } } } } , \frac { { p } } { \sqrt { { { o } - { d + 4 } } } }
1298,[ 17 117 117  70 116 116], \sqrt {  { v } } , \sqrt { { v } }
1299,[ 17 117 117 112 101 116 116], \sqrt { { - 1 } } , \sqrt { { - 1 } }
1300,"[ 30 118 117 117 117  50 116 115 117  76 116 116 116 114 117  30 117 101
 116 116 117  81 116]", \sum _ { {  { P } =  { p } } } ^ { \sum { 1 } } { k } , \sum _ { { { P } = { p } } } ^ { \sum { 1 } } { k }
1301,[31], \mu , \mu
1302,[117  32 116 114 117 117 112 117  88  30 117 117  58 116 116 116 116 116], { \pi } ^ { { - { d \sum {  { H } } } } } , { \pi } ^ { { - { d \sum { { H } } } } }
1303,[117  68 112  27 117  60 116  88   0 116], { x - \int  { F } d \lambda } , { x - \int { F } d \lambda }
1304,[108 117  94  96 116 107],  [ { 8 6 }  ] , [ { 8 6 } ]
1305,[117  77 120  31 119 116 114 117 117  69 112 117  90 116 116 116], { o  ( \mu  ) } ^ { { w -  { b } } } , { o ( \mu ) } ^ { { w - { b } } }
1306,[ 17 117 117 117 112  79 116 113 117  72 116 116 116], \sqrt { { { - m } +  { t } } } , \sqrt { { { - m } + { t } } }
1307,"[117  17 117 100 116 116 114 117 117  91 112 117  72 116 114 117 117  70
 116 114 117 117  81 116 116 120  48 119 116 116 116]", { \sqrt { 2 } } ^ { { a - { t } ^ { { v } ^ {  { k } }  ( R  ) } } } , { \sqrt { 2 } } ^ { { a - { t } ^ { { v } ^ { { k } } ( R ) } } }
1308,[94], 8 , 8
1309,[ 30 117  53 116], \sum { M } , \sum { M }
1310,[117  92  97  63 116], { 05 C } , { 0 5 C }
1311,[117 117  81 116 116 114 117 117  81 112  63 116 116], {  { k } } ^ { { k - C } } , { { k } } ^ { { k - C } }
1312,"[ 27  87 114 117 112  66 114 100 116  88  66 115 117  87  74  86 116 120
  66 119]", \int e ^ { - z ^ 2 } d z =  { erf }  ( z  ) , \int e ^ { - z ^ 2 } d z = { e r f } ( z )
1313,[ 27 117  63 116  88  73], \int  { C } ds , \int { C } d s
1314,[27  7 88 85], \int \sigma dg , \int \sigma d g
1315,[117  69  30 117  50 116 116], { w \sum { P } } , { w \sum { P } }
1316,[117  63  83 116],  { Ci } , { C i }
1317,[117  44 116],  { V } , { V }
1318,[117 117  78 116 116 114 117  64 116], {  { n } } ^ { B } , { { n } } ^ { B }
1319,[117  91 116 114 117  50 116 120  84 119], { a } ^ { P }  ( h  ) , { a } ^ { P } ( h )
1320,[120 117 117  73 116 116 118 117 117  84 116 116 119],  ( {  { s } } _ {  { h } }  ) , ( { { s } } _ { { h } } )
1321,"[ 30 118 117 117 117  52 116 115  77 116 116 114 117 117 112  61 116 116
 117 117  71 113  50 116 116]", \sum _ { {  { N } = o } } ^ { { - E } } { { u + P } } , \sum _ { { { N } = o } } ^ { { - E } } { { u + P } }
1322,[90], b , b
1323,[66], z , z
1324,[ 30 118 117 117  42 102  91 116 116 117 117   5 112  89 116 116], \sum _ { { X > a } } { { \alpha - c } } , \sum _ { { X > a } } { { \alpha - c } }
1325,[ 91 113  18 117  17 117  90 113  89 116 116 117 100 116], a + \frac { \sqrt { b + c } } { 2 } , a + \frac { \sqrt { b + c } } { 2 }
1326,[117  72 116],  { t } , { t }
1327,[117  72 116],  { t } , { t }
1328,[ 17 117 117 117  67 116 113  80 116 116], \sqrt { {  { y } + l } } , \sqrt { { { y } + l } }
1329,[ 17 117 117  76 116 116], \sqrt {  { p } } , \sqrt { { p } }
1330,[117  77 116],  { o } , { o }
1331,[ 27  87 114 117  68 114 100 116  68 114  99  88  68], \int e ^ { x ^ 2 } x ^ 3 d x , \int e ^ { x ^ 2 } x ^ 3 d x
1332,"[ 18 117 112  90 113  17 117  90 114 100 112  98  91  89 116 116 117 100
  91 116]", \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a } , \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a }
1333,"[ 18 117 112  90 112  17 117  90 114 100 112  98  91  89 116 116 117 100
  91 116]", \frac { - b - \sqrt { b ^ 2 - 4 a c } } { 2 a } , \frac { - b - \sqrt { b ^ 2 - 4 a c } } { 2 a }
1334,[ 91  68 114  98 113  90  68 113  89 115  92], a x ^ 4 + b x + c = 0 , a x ^ 4 + b x + c = 0
1335,[117 112 117  99  73 116 116], { - { 3 s } } , { - { 3 s } }
1336,[101  99 113  32  74 114 100], 13 + \pi r ^ 2 , 1 3 + \pi r ^ 2
1337,[ 18 117  98 116 117  99 116  32  74 114  99], \frac { 4 } { 3 } \pi r ^ 3 , \frac { 4 } { 3 } \pi r ^ 3
1338,[95], 7 , 7
1339,[ 18 117 101 116 117  99 116  32  74 114 100  84], \frac { 1 } { 3 } \pi r ^ 2 h , \frac { 1 } { 3 } \pi r ^ 2 h
1340,[ 18 117  32  74 114 100  84 116 117  99 116], \frac { \pi r ^ 2 h } { 3 } , \frac { \pi r ^ 2 h } { 3 }
1341,"[ 28 120  18 117  32 116 117  98 116 119 115  18 117 101 116 117  17 117
 100 116 116]", \sin  ( \frac { \pi } { 4 }  ) = \frac { 1 } { \sqrt { 2 } } , \sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
1342,[117  66 116],  { z } , { z }
1343,[ 28 120  18 117  32 116 117  99 116 119 115  18 117 101 116 117 100 116], \sin  ( \frac { \pi } { 3 }  ) = \frac { 1 } { 2 } , \sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
1344,[ 29 120  92 119 115 101], \cos  ( 0  ) = 1 , \cos ( 0 ) = 1
1345,[117  95 110  93 117  71 116 116], { 7.9  { u } } , { 7 . 9 { u } }
1346,[117  14 112 117  68 117  79 116 116 116], { \cdots - { x  { m } } } , { \cdots - { x { m } } }
1347,[ 17 117   6 116], \sqrt { \gamma } , \sqrt { \gamma }
1348,[ 24 118 100 120 100 114  97 119 115  97], \log _2  ( 2 ^ 5  ) = 5 , \log _ 2 ( 2 ^ 5 ) = 5
1349,[ 18 117 101 116 117  28 120  68 119 113 101 116], \frac { 1 } { \sin  ( x  ) + 1 } , \frac { 1 } { \sin ( x ) + 1 }
1350,[100   5 113  99  17 117  15 116], 2 \alpha + 3 \sqrt { \beta } , 2 \alpha + 3 \sqrt { \beta }
1351,[120  17 117  99 116 119],  ( \sqrt { 3 }  ) , ( \sqrt { 3 } )
1352,[117  71 116],  { u } , { u }
1353,[ 18 117  15 113   6 116 117   8 116], \frac { \beta + \gamma } { \theta } , \frac { \beta + \gamma } { \theta }
1354,"[ 81 114  99 113 101  98  81 114 100 112 101  99 100  81 113 101  95  94
  93]", k ^ 3 + 14 k ^ 2 - 132 k + 1789 , k ^ 3 + 1 4 k ^ 2 - 1 3 2 k + 1 7 8 9
1355,[120  28 120  68 119 114 100 113  99  29 120  68 119 114 100 119 114  98],  ( \sin  ( x  ) ^ 2 + 3 \cos  ( x  ) ^ 2  ) ^ 4 , ( \sin ( x ) ^ 2 + 3 \cos ( x ) ^ 2 ) ^ 4
1356,[100 100], 22 , 2 2
1357,[ 30 118 117 117 117  85 116 102   5 116 116 117 117  58 116 116], \sum _ { {  { g } > \alpha } } {  { H } } , \sum _ { { { g } > \alpha } } { { H } }
1358,[32], \pi , \pi
